Unnamed: 0,GEN_NAME,PMAX,PMIN,RAMP_10,GEN_FUEL,PRIMEMOVER,Energy_Source_1 (Fuel),RAMP_min,SimGEN_PERCidx,StartUpCost,MinDownTime,MinRunTime
184,Northport GT,16.0,0.0,2.666667,Combustion Turbine,CT,DFO,0.2666667,498,0.0,3.0,5.0
185,Oswego 5,866.0,39.15,144.333333,Steam Turbine,ST,RFO,14.433333300000001,225,0.0,7.0,8.0
186,Oswego 6,862.0,25.45,143.666667,Steam Turbine,ST,RFO,14.3666667,226,0.0,7.0,8.0
187,Pilgrim GT1,47.0,13.7,7.833333,Combustion Turbine,CT,NG,0.7833333,197,0.0,4.0,5.0
188,Pilgrim GT2,48.0,5.15,8.0,Combustion Turbine,CT,NG,0.8,938,16560.0,4.0,5.0
189,Pinelawn Power 1,81.0,14.5,13.5,Combined Cycle,CC,NG,1.35,198,19448.0,4.0,6.0
190,Port Jefferson 3,201.0,45.0,33.5,Steam Turbine,ST,RFO,3.35,501,98278.0,7.0,8.0
191,Port Jefferson 4,204.0,45.0,34.0,Steam Turbine,ST,RFO,3.4,501,98278.0,7.0,8.0
192,Port Jefferson GT 02,48.0,10.0,8.0,Combustion Turbine,CT,NG,0.8,957,3067.9,4.0,5.0
193,Port Jefferson GT 03,49.0,11.0,8.166667,Combustion Turbine,CT,NG,0.8166667000000001,774,4000.0,4.0,5.0
194,Pouch,48.0,4.0,8.0,Combustion Turbine,CT,NG,0.8,190,2633.36,2.0,3.0
195,Ravenswood 01,18.6,0.0,3.1,Combustion Turbine,CT,NG,0.31,191,2520.42,2.0,3.0
196,Ravenswood 10,25.0,0.0,4.166667,Jet Engine,GT,KER,0.41666670000000006,233,0.0,2.0,3.0
197,Ravenswood 11,25.0,0.0,4.166667,Jet Engine,GT,KER,0.41666670000000006,233,0.0,2.0,3.0
198,Ravenswood CC 04,286.0,142.0,47.666667,Combined Cycle,CC,NG,4.7666667,198,19448.0,4.0,6.0
199,Ravenswood ST 01,380.0,1.0,63.333333,Steam Turbine,ST,RFO,6.3333333000000005,239,4000.0,7.0,8.0
200,Ravenswood ST 02,1000.0,3.0,166.666667,Steam Turbine,ST,RFO,16.6666667,239,4000.0,7.0,8.0
201,Ravenswood ST 03,392.0,1.0,65.333333,Steam Turbine,ST,RFO,6.5333333,239,4000.0,7.0,8.0
202,Rensselaer,84.0,12.0,14.0,Combined Cycle,CC,NG,1.4,730,65110.74,4.0,6.0
203,Roseton 1,622.0,30.3,103.666667,Steam Turbine,ST,RFO,10.3666667,419,3102.76,7.0,8.0
204,Roseton 2,635.0,30.8,105.833333,Steam Turbine,ST,RFO,10.5833333,419,3102.76,7.0,8.0
205,S Hampton 1,11.5,0.0,1.916667,Combustion Turbine,CT,DFO,0.1916667,498,0.0,3.0,5.0
206,Saranac Energy,268.0,20.0,44.666667,Combined Cycle,CC,NG,4.466666699999999,680,6994.0,4.0,6.0
207,Selkirk-I,143.0,0.0,23.833333,Combined Cycle,CC,NG,2.3833333,680,6994.0,4.0,6.0
208,Selkirk-II,304.0,54.6,50.666667,Combined Cycle,CC,NG,5.0666667,198,19448.0,4.0,6.0
209,Shoemaker GT,37.0,0.0,6.166667,Jet Engine,GT,NG,0.6166667,862,1949.75,3.0,5.0
210,Shoreham 1,52.9,0.0,8.816667,Combustion Turbine,CT,DFO,0.8816667,498,0.0,3.0,5.0
211,Shoreham 2,18.6,0.0,3.1,Jet Engine,GT,DFO,0.31,243,0.0,2.0,2.0
212,Shoreham GT3,47.0,0.0,7.833333,Combustion Turbine,CT,DFO,0.7833333,498,0.0,3.0,5.0
213,Shoreham GT4,49.0,0.0,8.166667,Combustion Turbine,CT,DFO,0.8166667000000001,498,0.0,3.0,5.0
214,Somerset,731.0,80.4,53.916667,Steam Turbine,ST,COAL,5.3916667,445,0.0,9.0,15.0
215,South Cairo,21.6,0.0,3.6,Combustion Turbine,CT,KER,0.36,191,2520.42,2.0,3.0
216,Southold 1,14.0,0.0,2.333333,Combustion Turbine,CT,DFO,0.23333330000000002,498,0.0,3.0,5.0
217,St. Elizabeth Medical Center,0.6,0.0,0.1,Internal Combustion,IC,NG,0.01,702,0.0,,
218,Sterling,43.0,15.0,3.75,Combined Cycle,CC,NG,0.375,198,19448.0,4.0,6.0
219,Stony Brook   (BTM:NG),46.0,30.0,4.083333,Combustion Turbine,CT,NG,0.40833329999999995,197,0.0,4.0,5.0
220,Syracuse,102.0,14.0,6.833333,Combined Cycle,CC,NG,0.6833332999999999,198,19448.0,4.0,6.0
221,Vernon Blvd 2,43.0,18.5,5.333333,Combustion Turbine,CT,NG,0.5333333,197,0.0,4.0,5.0
222,Vernon Blvd 3,42.0,15.0,5.583333,Combustion Turbine,CT,NG,0.5583332999999999,197,0.0,4.0,5.0
223,Wading River 1,102.0,9.0,12.583333,Combustion Turbine,CT,DFO,1.2583332999999999,498,0.0,3.0,5.0
224,Wading River 2,94.0,7.8,13.5,Combustion Turbine,CT,DFO,1.35,498,0.0,3.0,5.0
225,Wading River 3,94.0,4.0,13.333333,Combustion Turbine,CT,DFO,1.3333333,498,0.0,3.0,5.0
226,West Babylon 4,65.0,3.0,8.083333,Combustion Turbine,CT,DFO,0.8083332999999999,498,0.0,3.0,5.0
227,Nuclear_B_0,581.7,0.0,58.17,Nuclear,ST,NUC,5.817,584,0.0,168.0,168.0
228,Nuclear_C_0,854.5,0.0,85.45,Nuclear,ST,NUC,8.545,584,0.0,168.0,168.0
229,Nuclear_C_1,629.0,0.0,62.9,Nuclear,ST,NUC,6.29,584,0.0,168.0,168.0
230,Nuclear_C_2,1299.0,0.0,129.9,Nuclear,ST,NUC,12.99,584,0.0,168.0,168.0
231,Nuclear_H_0,1025.9,0.0,102.59,Nuclear,ST,NUC,10.259,584,0.0,168.0,168.0
232,Nuclear_H_1,1039.9,0.0,103.99,Nuclear,ST,NUC,10.399,584,0.0,168.0,168.0
